TypeName,Inches,Ram,OpSys,Weight,Price_in_euros,ips,touchscreen,resolution_parsed,first_storage,second_storage,first_type,second_storage_type,gpu_brand,cpu_brand
4,13.3,8,8,1.37,1339.69,True,False,7,128.0,-1.0,3,0,1,1
4,13.3,8,8,1.34,898.94,False,False,1,128.0,-1.0,0,0,1,1
3,15.6,8,4,1.86,575.0,False,False,3,256.0,-1.0,3,0,1,1
3,15.6,4,5,2.1,400.0,False,False,0,500.0,-1.0,1,0,0,0
4,13.3,8,8,1.34,1158.7,False,False,1,256.0,-1.0,0,0,1,1
4,14.0,16,5,1.3,1495.0,False,False,3,512.0,-1.0,3,0,2,1
4,14.0,8,5,1.6,770.0,True,False,3,256.0,-1.0,3,0,1,1
3,15.6,4,4,1.86,393.9,False,False,0,500.0,-1.0,1,0,1,1
3,15.6,4,4,1.86,344.99,False,False,3,500.0,-1.0,1,0,1,1
3,15.6,4,5,2.2,498.9,False,False,3,256.0,-1.0,3,0,0,1
4,12.0,8,8,0.92,1262.4,True,False,5,256.0,-1.0,3,0,1,1
3,15.6,8,5,2.2,745.0,False,False,3,256.0,-1.0,3,0,0,1
3,15.6,8,4,2.2,499.0,False,False,3,1024.0,-1.0,1,0,2,1
4,13.3,8,5,1.22,979.0,True,True,3,128.0,-1.0,3,0,1,1
2,11.6,2,5,0.98,191.9,False,False,0,32.0,-1.0,0,0,1,1
1,15.6,8,5,2.5,999.0,True,False,3,128.0,1024.0,3,1,2,1
3,15.6,4,4,1.86,258.0,False,False,0,500.0,-1.0,1,0,0,0
0,13.3,8,5,1.62,819.0,False,True,3,256.0,-1.0,3,0,1,1
4,15.6,8,5,1.91,659.0,False,False,3,256.0,-1.0,3,0,1,1
3,15.6,4,5,2.3,418.64,False,False,0,1024.0,-1.0,1,0,1,1
4,13.3,8,3,1.35,1099.0,False,False,1,128.0,-1.0,0,0,1,1
3,15.6,8,5,2.2,800.0,False,False,3,256.0,-1.0,3,0,0,1
4,15.6,8,5,1.88,1298.0,False,False,3,256.0,256.0,3,3,1,1
3,17.3,8,5,2.5,896.0,False,False,3,1024.0,-1.0,1,0,2,1
3,14.0,2,5,1.65,199.0,False,False,0,32.0,-1.0,0,0,0,0
3,17.3,4,5,2.71,439.0,False,False,3,500.0,-1.0,1,0,0,0
4,13.3,8,3,1.35,998.0,False,False,1,256.0,-1.0,0,0,1,1
3,14.0,4,5,1.44,249.0,False,False,0,64.0,-1.0,0,0,1,1
3,15.6,4,2,2.1,367.0,False,False,0,1024.0,-1.0,1,0,1,1
3,17.3,8,5,2.8,979.0,True,False,3,128.0,1024.0,3,1,0,1
3,15.6,4,5,1.86,488.69,False,False,0,1024.0,-1.0,1,0,1,1
3,15.6,8,5,2.1,879.0,False,False,3,256.0,-1.0,3,0,2,1
3,15.6,4,2,2.0,389.0,False,False,3,1024.0,-1.0,1,0,1,1
1,15.6,16,5,2.65,1499.0,True,False,3,256.0,1024.0,3,1,2,1
3,15.6,8,2,2.3,522.99,False,False,0,1024.0,-1.0,1,0,2,1
3,15.6,4,5,2.2,682.0,True,False,3,256.0,-1.0,3,0,1,1
0,17.3,12,5,2.77,999.0,False,True,3,1024.0,-1.0,1,0,2,1
4,13.3,8,8,1.37,1419.0,True,False,7,256.0,-1.0,3,0,1,1
3,15.6,4,4,2.2,369.0,False,False,0,128.0,-1.0,3,0,1,1
1,17.3,8,5,3.2,1299.0,False,False,3,256.0,1024.0,3,1,0,0
3,15.6,4,5,2.3,639.0,False,False,3,256.0,-1.0,3,0,0,1
3,17.3,4,5,2.8,466.0,False,False,0,1024.0,-1.0,1,0,2,1
0,10.1,4,0,0.69,319.0,True,True,4,64.0,-1.0,0,0,1,1
3,15.6,8,5,2.2,841.0,True,False,3,256.0,-1.0,3,0,2,1
3,15.6,4,5,1.86,398.49,False,False,3,256.0,-1.0,3,0,0,0
3,13.3,8,5,1.49,1103.0,False,False,3,512.0,-1.0,3,0,1,1
3,15.6,4,5,2.4,384.0,False,False,0,1024.0,-1.0,1,0,1,1
3,15.6,8,5,2.13,767.8,False,False,3,256.0,-1.0,3,0,0,1
3,15.6,4,5,1.91,439.0,False,False,3,128.0,-1.0,3,0,1,1
3,15.6,4,5,2.0,586.19,False,False,0,256.0,-1.0,3,0,1,1
3,15.6,4,2,2.0,415.0,False,False,3,256.0,-1.0,3,0,1,1
3,17.3,16,5,2.8,1299.0,False,False,3,256.0,2048.0,3,1,0,1
4,14.0,8,5,1.7,879.0,False,False,3,256.0,-1.0,3,0,1,1
3,14.0,8,4,1.7,599.0,True,False,3,256.0,-1.0,3,0,1,1
3,14.0,8,5,1.4,941.0,False,False,3,256.0,-1.0,3,0,1,1
3,15.6,8,5,1.86,690.0,False,False,3,256.0,-1.0,3,0,1,1
3,15.6,4,5,1.86,438.69,False,False,0,500.0,-1.0,1,0,0,1
3,14.0,4,5,1.44,229.0,False,False,0,32.0,-1.0,3,0,1,1
3,15.6,4,5,1.9,549.0,False,False,3,1024.0,-1.0,1,0,1,1
1,17.3,12,2,3.0,949.0,False,False,3,1024.0,-1.0,1,0,2,1
4,13.3,8,5,1.4,955.0,True,False,3,256.0,-1.0,3,0,0,1
3,15.6,8,5,2.2,870.0,False,False,3,256.0,-1.0,3,0,0,1
1,17.3,8,5,2.7,1095.0,False,False,3,128.0,1024.0,3,1,2,1
3,14.0,8,5,2.1,389.0,False,False,0,1024.0,-1.0,1,0,1,1
1,15.6,8,5,2.2,949.0,False,False,3,1024.0,-1.0,1,0,2,1
3,15.6,8,4,2.2,519.0,False,False,3,2048.0,-1.0,1,0,1,1
3,15.6,8,5,2.02,855.0,False,False,3,128.0,1024.0,3,1,1,1
3,15.6,4,5,2.2,530.0,False,False,3,1024.0,-1.0,1,0,2,1
3,17.3,8,5,2.5,977.0,False,False,3,128.0,1024.0,3,1,2,1
4,15.6,8,5,1.88,1096.16,True,False,3,256.0,-1.0,3,0,1,1
3,14.0,8,5,1.63,860.0,False,False,3,256.0,-1.0,3,0,1,1
3,15.6,4,5,2.2,399.0,False,False,3,128.0,-1.0,3,0,0,0
3,15.6,4,5,2.1,395.0,False,False,0,1024.0,-1.0,1,0,0,0
1,15.6,16,5,2.65,1349.0,True,False,3,128.0,1024.0,3,1,2,1
4,15.6,8,5,1.83,699.0,True,False,3,256.0,-1.0,3,0,2,1
3,15.6,8,5,1.96,598.99,False,False,3,256.0,-1.0,3,0,1,1
1,15.6,16,5,2.2,1449.0,True,False,3,128.0,1024.0,3,1,2,1
1,15.6,8,5,2.45,699.0,False,False,3,1024.0,-1.0,1,0,0,0
3,15.6,8,5,2.2,689.0,False,False,3,1024.0,-1.0,1,0,2,1
3,13.3,16,5,1.49,1197.0,False,False,3,512.0,-1.0,3,0,1,1
1,15.6,8,5,2.65,1195.0,False,False,3,256.0,-1.0,3,0,2,1
4,14.0,8,5,1.25,1049.0,False,False,3,256.0,-1.0,3,0,1,1
0,13.3,8,5,1.5,847.0,True,True,3,256.0,-1.0,3,0,1,1
3,15.6,8,2,2.2,599.9,False,False,3,1024.0,-1.0,1,0,0,1
3,15.6,4,2,2.2,485.0,False,False,3,256.0,-1.0,3,0,0,1
3,15.6,6,5,2.0,577.0,False,False,3,256.0,-1.0,3,0,2,1
1,15.6,12,5,2.62,1249.0,True,False,3,128.0,1024.0,3,1,2,1
3,15.6,8,5,1.91,719.0,False,False,3,256.0,-1.0,3,0,0,1
3,15.6,4,5,2.1,349.0,False,False,3,500.0,-1.0,1,0,0,0
3,15.6,8,2,2.2,647.0,False,False,3,1024.0,-1.0,1,0,0,1
4,13.3,8,5,1.38,1119.0,True,False,3,256.0,-1.0,3,0,2,1
